"player","team","posQB","posRB","posTE","posWR","year","lag_ppg","lag_age","lag_starts","lag_rk_ovr","lag_pass_comp","lag_pass_att","lag_pass_yds","lag_pass_td","lag_pass_int","lag_rush_att","lag_rush_yds","lag_y_a","lag_rush_td","lag_rec_tgt","lag_rec_rec","lag_rec_yds","lag_y_r","lag_rec_td","lag_fumb_times","lag_fumb_fl","lag_score_tds","lag_score_2pm","lag_score_2pp","lag_rk_vbd","lag_rk_pos","lag_rk_probowl","lag_rk_allpro"
"Jalen Reagor","NWE",0,0,0,1,2023,2.31818181818182,24,1,329,0,0,0,0,0,1,17,17,0,23,7,138,19.71,0,0,0,1,0,0,0,131,0,0
"Stone Smartt","LAC",0,0,1,0,2023,1.71875,25,3,330,0,0,0,0,0,0,0,0,0,21,11,155,14.09,1,0,0,1,0,0,0,58,0,0
"Dorian Thompson-Robinson","CLE",1,0,0,0,2023,2.75,24,3,331,60,112,440,1,4,14,65,4.64,0,0,0,0,0,0,2,0,0,1,0,0,56,0,0
"C.J. Beathard","JAX",1,0,0,0,2023,3,30,1,332,40,53,349,1,0,8,35,4.38,0,0,0,0,0,0,1,0,0,0,0,0,57,0,0
"Derius Davis","LAC",0,0,0,1,2023,1.67647058823529,23,2,333,0,0,0,0,0,14,101,7.21,0,17,15,66,4.4,0,3,1,1,0,0,0,133,0,0
"Van Jefferson","2TM",0,0,0,1,2023,1.82352941176471,27,9,334,0,0,0,0,0,1,4,4,0,43,20,209,10.45,0,0,0,0,0,0,0,132,0,0
"Will Mallory","IND",0,0,1,0,2023,2.5,24,2,335,0,0,0,0,0,0,0,0,0,26,18,207,11.5,0,1,0,0,0,0,0,59,0,0
"Jamison Crowder","WAS",0,0,0,1,2023,1.64705882352941,30,0,336,0,0,0,0,0,0,0,0,0,20,16,159,9.94,1,2,1,1,0,0,0,135,0,0
"P.J. Walker","CLE",1,0,0,0,2023,3.33333333333333,28,2,337,54,111,674,1,5,13,30,2.31,0,0,0,0,0,0,4,2,0,0,0,0,58,0,0
"Quez Watkins","PHI",0,0,0,1,2023,3.05555555555556,25,5,338,0,0,0,0,0,0,0,0,0,21,15,142,9.47,1,0,0,1,0,0,0,134,0,0
"Robbie Chosen","MIA",0,0,0,1,2023,2.33333333333333,30,0,339,0,0,0,0,0,0,0,0,0,6,4,126,31.5,1,0,0,1,0,0,0,137,0,0
"Nick Chubb","CLE",0,1,0,0,2023,10.5,28,2,340,0,0,0,0,0,28,170,6.07,0,4,4,21,5.25,0,0,0,0,0,0,0,87,0,0
"Malik Heath","GNB",0,0,0,1,2023,2.03846153846154,23,1,341,0,0,0,0,0,0,0,0,0,24,15,125,8.33,1,0,0,1,0,0,0,138,0,0
